Build model ...
Saving everything to directory ../checkpoints_50.
epoch: 1
Epoch: [0][59/849]	Time 2.035 (2.259)	Data 0.844 (0.886)	Loss 0.1191 (0.1886)	Prec 0.881 (0.811)	
Epoch: [0][60/849]	Time 2.034 (2.256)	Data 0.844 (0.885)	Loss 0.1249 (0.1875)	Prec 0.875 (0.812)	
Epoch: [0][61/849]	Time 2.041 (2.252)	Data 0.850 (0.885)	Loss 0.1253 (0.1865)	Prec 0.875 (0.813)	
Epoch: [0][62/849]	Time 2.036 (2.249)	Data 0.844 (0.884)	Loss 0.1167 (0.1854)	Prec 0.883 (0.815)	
Epoch: [0][63/849]	Time 2.050 (2.246)	Data 0.845 (0.884)	Loss 0.1255 (0.1845)	Prec 0.875 (0.816)	
Epoch: [0][64/849]	Time 2.022 (2.242)	Data 0.831 (0.883)	Loss 0.1233 (0.1835)	Prec 0.877 (0.816)	
Epoch: [0][65/849]	Time 2.033 (2.239)	Data 0.844 (0.882)	Loss 0.1236 (0.1826)	Prec 0.876 (0.817)	
Epoch: [0][66/849]	Time 2.036 (2.236)	Data 0.846 (0.882)	Loss 0.1315 (0.1819)	Prec 0.868 (0.818)	
Epoch: [0][67/849]	Time 2.038 (2.233)	Data 0.846 (0.881)	Loss 0.1188 (0.1809)	Prec 0.881 (0.819)	
Epoch: [0][68/849]	Time 2.039 (2.230)	Data 0.846 (0.881)	Loss 0.1260 (0.1801)	Prec 0.874 (0.820)	
Epoch: [0][69/849]	Time 2.037 (2.228)	Data 0.846 (0.880)	Loss 0.1304 (0.1794)	Prec 0.870 (0.821)	
Epoch: [0][70/849]	Time 2.034 (2.225)	Data 0.845 (0.880)	Loss 0.1372 (0.1788)	Prec 0.863 (0.821)	
Epoch: [0][71/849]	Time 2.035 (2.222)	Data 0.845 (0.879)	Loss 0.1193 (0.1780)	Prec 0.881 (0.822)	
Epoch: [0][72/849]	Time 2.033 (2.220)	Data 0.845 (0.879)	Loss 0.1331 (0.1774)	Prec 0.867 (0.823)	
Epoch: [0][73/849]	Time 2.033 (2.217)	Data 0.844 (0.878)	Loss 0.1222 (0.1766)	Prec 0.878 (0.823)	
Epoch: [0][74/849]	Time 2.035 (2.215)	Data 0.845 (0.878)	Loss 0.1242 (0.1759)	Prec 0.876 (0.824)	
Epoch: [0][75/849]	Time 2.036 (2.212)	Data 0.846 (0.877)	Loss 0.1289 (0.1753)	Prec 0.871 (0.825)	
Epoch: [0][76/849]	Time 2.035 (2.210)	Data 0.845 (0.877)	Loss 0.1273 (0.1747)	Prec 0.873 (0.825)	
Epoch: [0][77/849]	Time 2.037 (2.208)	Data 0.846 (0.876)	Loss 0.1205 (0.1740)	Prec 0.880 (0.826)	
Epoch: [0][78/849]	Time 2.034 (2.206)	Data 0.845 (0.876)	Loss 0.1302 (0.1735)	Prec 0.870 (0.827)	
Epoch: [0][79/849]	Time 2.036 (2.203)	Data 0.844 (0.876)	Loss 0.1279 (0.1729)	Prec 0.872 (0.827)	
Epoch: [0][80/849]	Time 2.035 (2.201)	Data 0.846 (0.875)	Loss 0.1189 (0.1722)	Prec 0.881 (0.828)	
Epoch: [0][81/849]	Time 2.038 (2.199)	Data 0.846 (0.875)	Loss 0.1193 (0.1716)	Prec 0.881 (0.828)	
